Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
54,1.1,48,23.8243076108,1.1912153805,15.4625,8.4334805241,0.4216740262
55,1.1,29.2225730071,17.1895399658,1.2776884433,19.5193370166,9.7723203419,0.7263708505
56,1.1,28.631452581,14.7151892543,0.8582072653,13.8299319728,8.5689473787,0.4997511598
57,1.1,17.6681783825,7.0735337107,1.0105048158,33.3265306122,12.654575288,1.8077964697
58,1.1,25.2287581699,15.003701823,1.2129773998,22.8562091503,12.6875052017,1.0257240014
59,1.1,24.2208541747,11.9416195097,1.1233730675,22.7345132743,9.6578801785,0.9085369428
60,1.1,24.2116708953,12.3794904941,1.3122233679,29.9550561798,13.8100355241,1.4638608378
61,1.1,39.5360824742,22.4785022258,1.1411730516,13.7757731959,7.6139948921,0.3865420258
62,1.1,31.6121212121,17.5228293961,1.3641504184,19.8,11.0372372476,0.8592477544
63,1.1,28.3703409992,15.4230559798,1.1073108871,18.5927835052,9.8391260552,0.7064080825
65,1.1,46.0542929293,25.3179195883,1.4918727189,14.34375,9.3702707979,0.5521485019
66,1.1,23.7149946827,11.3408362711,1.1888426699,28.021978022,11.5082178206,1.2063890239
67,1.1,35.1126126126,21.3364142642,1.2401538887,14.2027027027,9.0303238841,0.5248769143
68,1.1,31.4219653179,17.4153935847,1.3240678556,19.5722543353,10.5343772009,0.8009138675
69,1.1,31.729879741,16.4014044565,1.1961953608,18.6489361702,10.3540591761,0.7551473768
2,1.15,44.3811422874,25.2710058064,1.2435049022,15.0314769976,8.3510436052,0.4109279916
3,1.15,22.3577235772,11.9149342397,1.3157843712,35.3170731707,14.7589394562,1.6298522074
4,1.15,23.5572519084,12.0929234378,1.7101976334,41.96,14.9451798249,2.1135676001
5,1.15,24.8550724638,13.9060595394,1.6388448333,39.9444444444,16.1579778102,1.9042359466
6,1.15,29.6796536797,17.3025402099,1.3470009285,21.7636363636,11.661327389,0.907833106
7,1.15,26.8902618417,13.8362945481,1.363330612,30.1359223301,12.5659800739,1.2381628076
8,1.15,24.4244877308,11.9874768446,1.4645033853,41.1940298507,16.966374828,2.0727725855
9,1.15,31.0331681281,15.6537219271,1.417221393,26.4754098361,11.6212165461,1.0521355099
10,1.15,30.2429149798,18.9913068864,1.2083879201,15.6234817814,10.057322308,0.6399320941
11,1.15,13.6644219978,2.7261409206,0.4745602213,28.0606060606,8.4600286336,1.4727019539
12,1.15,13.3513513514,3.4731570043,0.6946314009,32.24,10.1322455557,2.0264491111
13,1.15,13.4323832626,2.955676249,0.7168567865,34.1764705882,8.118499529,1.9690253576
14,1.15,30.9773123909,18.8661585794,0.9652766464,14.1204188482,8.0895609697,0.4138979459
15,1.15,20.8317139526,9.1623686958,1.0057006196,26.3493975904,9.6585485389,1.0601634329
16,1.15,13.6876484561,2.5773271309,0.6443317827,53.8125,10.2482849175,2.5620712294
17,1.15,19.3672099712,7.1846143667,1.108610065,40.6428571429,14.3208496499,2.2097550753
18,1.15,32.9559748428,17.8102669535,1.0940760019,16.5094339623,7.9051515124,0.4856095972
20,1.15,39.55,28.0543668615,1.2546294274,9.774,7.7814474232,0.347996908
21,1.15,49.5428571429,31.3797542946,1.4033452744,10.384,7.5939807743,0.3396131446
