Network,T_value,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
57,0.13,66.192252323,14.7708567345,0.8780362941,40.222614841,10.668300401,0.6341646336
58,0.13,55.5913978495,25.5356535734,1.5287795908,27.3799283154,11.7680278232,0.7045333971
59,0.13,60.6815952926,20.843350137,1.2779877936,31.2706766917,10.9799049666,0.6732211679
60,0.13,95.0609853956,5.3393721177,0.2663036768,30.9004975124,6.6874092546,0.3335376583
61,0.13,17.1354166667,6.4379297996,0.5690379773,12.6796875,7.0433186356,0.6225472962
62,0.13,35.6483516484,19.0836064659,1.4145710252,19.478021978,9.9513685866,0.7376445165
63,0.13,20.5901856764,10.9516371861,1.0168339854,16.9396551724,8.3607135411,0.7762727642
64,0.13,93.4285287081,16.0924228002,0.7871061278,26.8062200957,7.9099755061,0.3868895485
65,0.13,38.5118306351,20.8142252455,1.2180604004,13.2363013699,7.6343436364,0.4467661686
66,0.13,38.066380757,18.0538412131,1.3726081299,31.5664739884,13.1537123156,1.0000582286
67,0.13,21.0731707317,10.3036584644,0.7196387229,11.9024390244,6.94720466,0.4852138205
68,0.13,30.9898989899,16.2291015264,1.1533520237,19.1060606061,9.8079468726,0.6970204331
69,0.13,37.7292396456,18.1230888499,1.2476448894,18.4597156398,8.8976293725,0.6125380671
1,0.14,15.8584534731,3.5362352721,0.3387099094,11.9449541284,6.0953206031,0.5838258291
2,0.14,14.1582150101,4.5562703954,0.3783776613,11.0965517241,5.5563869902,0.4614328239
3,0.14,98.7467674557,1.3510041681,0.0631973094,31.818380744,6.3141544307,0.2953636863
4,0.14,99.4495953871,0.6342845917,0.0293826663,31.160944206,5.6702917518,0.2626711931
5,0.14,98.9549961861,0.6927841772,0.0324425915,31.1184210526,5.5190271484,0.258452126
6,0.14,63.9399454049,25.078533234,1.4152635067,27.2292993631,11.4737987931,0.6475039255
7,0.14,94.1132018439,8.611214758,0.430023544,31.4413965087,6.487062286,0.3239484315
8,0.14,98.4042354174,0.8963689752,0.0421150883,30.9668874172,5.9779771161,0.2808698661
